日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,0.696,0.714,0.714,0.693,116016,8141130.0,2.96,0.71,0.005,13.64
2023-01-04,0.711,0.714,0.718,0.709,111969,7987745.9,1.26,0.0,0.0,13.17
2023-01-05,0.718,0.729,0.733,0.718,77130,5620645.529,2.1,2.1,0.015,9.07
2023-01-06,0.729,0.726,0.734,0.722,83086,6057669.1,1.65,-0.41,-0.003,9.77
2023-01-09,0.727,0.73,0.732,0.726,45092,3286891.4,0.83,0.55,0.004,5.3
2023-01-10,0.724,0.73,0.731,0.724,15154,1104563.6,0.96,0.0,0.0,1.78
2023-01-11,0.735,0.729,0.741,0.729,24376,1796026.7,1.64,-0.14,-0.001,2.87
2023-01-12,0.733,0.719,0.733,0.716,18439,1333013.2,2.33,-1.37,-0.01,2.17
2023-01-13,0.71,0.728,0.73,0.71,4600,331352.3,2.78,1.25,0.009,0.54
2023-01-16,0.729,0.738,0.748,0.729,8676,645288.4,2.61,1.37,0.01,1.02
2023-01-17,0.742,0.736,0.745,0.735,10210,756204.0,1.36,-0.27,-0.002,1.2
2023-01-18,0.736,0.739,0.743,0.735,12103,897707.3,1.09,0.41,0.003,1.42
2023-01-19,0.737,0.749,0.75,0.737,11833,881552.2,1.76,1.35,0.01,1.39
2023-01-20,0.763,0.757,0.763,0.738,33988,2569879.5,3.34,1.07,0.008,4.0
2023-01-30,0.76,0.763,0.779,0.76,29951,2307371.1,2.51,0.79,0.006,3.52
2023-01-31,0.763,0.746,0.763,0.746,35524,2662224.1,2.23,-2.23,-0.017,4.18
2023-02-01,0.741,0.761,0.762,0.741,28520,2151924.4,2.82,2.01,0.015,3.35
2023-02-02,0.762,0.765,0.772,0.762,21861,1677408.4,1.31,0.53,0.004,2.57
2023-02-03,0.765,0.761,0.765,0.75,8719,657678.7,1.96,-0.52,-0.004,1.03
2023-02-06,0.747,0.745,0.765,0.74,13638,1017261.756,3.29,-2.1,-0.016,1.6
2023-02-07,0.749,0.748,0.755,0.747,14846,1114934.9,1.07,0.4,0.003,1.75
2023-02-08,0.748,0.742,0.75,0.736,25618,1911036.335,1.87,-0.8,-0.006,3.01
2023-02-09,0.751,0.76,0.761,0.738,12787,964288.0,3.1,2.43,0.018,1.5
2023-02-10,0.761,0.749,0.761,0.744,35209,2641061.7,2.24,-1.45,-0.011,4.14
2023-02-13,0.748,0.752,0.752,0.744,21018,1569603.5,1.07,0.4,0.003,2.47
2023-02-14,0.762,0.751,0.762,0.748,16099,1209222.334,1.86,-0.13,-0.001,1.89
2023-02-15,0.748,0.75,0.752,0.744,17906,1340353.4,1.07,-0.13,-0.001,2.11
2023-02-16,0.755,0.748,0.763,0.741,25752,1946584.5,2.93,-0.27,-0.002,3.03
2023-02-17,0.754,0.734,0.754,0.734,21207,1566450.4,2.67,-1.87,-0.014,2.49
2023-02-20,0.73,0.747,0.747,0.725,20861,1541947.8,3.0,1.77,0.013,2.45
2023-02-21,0.741,0.733,0.744,0.732,37524,2770177.9,1.61,-1.87,-0.014,4.41
2023-02-22,0.733,0.729,0.734,0.726,10831,789016.6,1.09,-0.55,-0.004,1.27
2023-02-23,0.731,0.726,0.733,0.725,14161,1032432.81,1.1,-0.41,-0.003,1.67
2023-02-24,0.731,0.721,0.74,0.719,27199,1965497.3,2.89,-0.69,-0.005,3.2
2023-02-27,0.718,0.714,0.722,0.713,15792,1129562.1,1.25,-0.97,-0.007,1.86
