日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,0.54,0.551,0.554,0.528,9498945,514947676.145,4.77,1.1,0.006,9.28
2023-01-04,0.56,0.575,0.575,0.556,12072821,685279720.123,3.45,4.36,0.024,11.8
2023-01-05,0.595,0.583,0.599,0.582,10212571,601292710.641,2.96,1.39,0.008,9.98
2023-01-06,0.591,0.574,0.592,0.57,8085873,470515537.207,3.77,-1.54,-0.009,7.9
2023-01-09,0.581,0.586,0.59,0.576,6711287,392053525.712,2.44,2.09,0.012,6.56
2023-01-10,0.583,0.583,0.586,0.575,5683443,330100880.466,1.88,-0.51,-0.003,5.55
2023-01-11,0.588,0.583,0.595,0.582,7016963,414013742.81,2.23,0.0,0.0,6.86
2023-01-12,0.585,0.569,0.587,0.565,8284918,477313153.83,3.77,-2.4,-0.014,8.1
2023-01-13,0.572,0.576,0.576,0.566,5824330,332699268.66,1.76,1.23,0.007,5.69
2023-01-16,0.58,0.568,0.582,0.566,7635167,438663428.116,2.78,-1.39,-0.008,7.46
2023-01-17,0.57,0.571,0.581,0.567,6490858,371930926.007,2.46,0.53,0.003,6.34
2023-01-18,0.571,0.574,0.579,0.567,6396088,367333788.246,2.1,0.53,0.003,6.25
2023-01-19,0.569,0.57,0.573,0.564,5410070,307904548.121,1.57,-0.7,-0.004,5.29
2023-01-20,0.574,0.581,0.584,0.574,4943073,285723463.4,1.75,1.93,0.011,4.83
2023-01-30,0.605,0.585,0.608,0.584,8648102,515461812.098,4.13,0.69,0.004,8.45
2023-01-31,0.585,0.57,0.59,0.569,6315154,365421410.99,3.59,-2.56,-0.015,6.17
2023-02-01,0.579,0.593,0.595,0.575,7527531,439039950.249,3.51,4.04,0.023,7.36
2023-02-02,0.602,0.598,0.605,0.594,6675605,400784467.5,1.85,0.84,0.005,6.52
2023-02-03,0.59,0.589,0.594,0.581,6092610,356854173.381,2.17,-1.51,-0.009,5.95
2023-02-06,0.576,0.569,0.578,0.566,7095141,405222898.506,2.04,-3.4,-0.02,6.93
