日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-09,1.021,1.027,1.047,1.019,1739913,180065251.0,2.72,-0.19,-0.002,3.6
2025-01-10,1.028,1.015,1.057,1.013,903928,93926482.0,4.28,-1.17,-0.012,1.87
2025-01-13,0.983,1.005,1.013,0.983,330774,33051203.0,2.96,-0.99,-0.01,0.69
2025-01-14,1.008,1.053,1.055,1.001,510236,52879917.0,5.37,4.78,0.048,1.06
2025-01-15,1.051,1.057,1.068,1.04,553567,58538828.0,2.66,0.38,0.004,1.15
2025-01-16,1.06,1.03,1.069,1.019,577168,59964388.0,4.73,-2.55,-0.027,1.2
2025-01-17,1.028,1.049,1.063,1.02,497046,51924114.0,4.17,1.84,0.019,1.03
2025-01-20,1.06,1.054,1.065,1.047,445211,47065056.0,1.72,0.48,0.005,0.92
2025-01-21,1.064,1.101,1.106,1.064,851518,92303135.0,3.98,4.46,0.047,1.76
2025-01-22,1.095,1.1,1.101,1.084,887659,97084687.0,1.54,-0.09,-0.001,1.84
2025-01-23,1.126,1.083,1.13,1.082,976766,107877842.0,4.36,-1.55,-0.017,2.02
2025-01-24,1.083,1.115,1.116,1.08,1227054,135741116.0,3.32,2.95,0.032,2.54
2025-01-27,1.137,1.093,1.146,1.092,1843097,204407737.0,4.84,-1.97,-0.022,3.82
2025-02-05,1.122,1.145,1.159,1.122,1845590,210424983.0,3.39,4.76,0.052,3.82
2025-02-06,1.133,1.189,1.2,1.127,2115213,248906854.0,6.38,3.84,0.044,4.38
2025-02-07,1.2,1.212,1.237,1.185,3177654,385174679.0,4.37,1.93,0.023,6.58
2025-02-10,1.223,1.258,1.259,1.202,2648991,327184806.0,4.7,3.8,0.046,5.49
2025-02-11,1.26,1.231,1.265,1.225,3685458,457021362.0,3.18,-2.15,-0.027,7.63
2025-02-12,1.224,1.247,1.248,1.218,2863773,354105477.0,2.44,1.3,0.016,5.93
2025-02-13,1.247,1.212,1.247,1.211,2523229,309530404.0,2.89,-2.81,-0.035,5.23
2025-02-14,1.205,1.229,1.238,1.194,2180953,266170007.0,3.63,1.4,0.017,4.52
